file_name	summary
chunk_0.txt	Camillo and Archidamus are discussing the long-standing friendship between Leontes and Polixenes, their respective kings. Polixenes has been staying at Leontes' court.
chunk_1.txt	Polixenes is persuaded by Leontes' wife Hermione (who acts at Leontes' suggestion) to stay with him longer.
chunk_2.txt	Hermione succeeds, but Leontes then grows jealous of the affection shown to Polixenes by Hermione, his pregnant wife.
chunk_3.txt	Leontes convinces himself they are having an affair.
chunk_4.txt	his jealousy grow that he asks Camillo to poison Polixenes.
chunk_5.txt	
chunk_6.txt	Camillo, knowing Polixenes' innocence, informs him of Leontes' intentions
chunk_7.txt	Polixenes flees Sicilia for Bohemia, taking Camillo with him.
chunk_8.txt	Leontes publicly accuses the pregnant Hermione.
chunk_9.txt	Leontes locks Hermione up in a prison.
chunk_10.txt	Lenotes sends Cleomenes and Dion to the Oracle to have his course of action confirmed.
chunk_11.txt	While imprisoned, Hermione gives birth to a daughter.
chunk_12.txt	Another courtier, Paulina, confronts Leontes, arguing that he has the duty to accept the baby as his daughter.
chunk_13.txt	
chunk_14.txt	He overrules the opinions of his lords, and banishes the baby. One of his lords, Antigonus, is instructed to take the baby and abandon it far from Sicilia.
chunk_15.txt	Leontes puts Hermione on trial.
chunk_16.txt	
chunk_17.txt	Cleomenes and Dion bring the judgement from the Oracle, which proclaims Hermione, Polixenes, and Camillo all innocent, and predicts that Leontes will have no heir if the banished baby is not found.Leontes rejects the Oracle, only to learn that his son has died. Hermione faints and is taken out. Leontes immediately repents.
chunk_18.txt	Paulina returns to say that Hermione is dead. Leontes vows perpetual sorrow.
chunk_19.txt	In Bohemia, Antigonus reluctantly leaves the baby by itself, but as he starts to return home he is killed by a bear.
chunk_20.txt	The baby is rescued and adopted by a Shepherd and his son, a Clown.
chunk_21.txt	The Chorus, Time, takes the play forward 16 years.
chunk_22.txt	Polixenes and Camillo disguise themselves to be present at a sheep-shearing festival.
chunk_23.txt	Polixenes and Camillo disguise themselves to be present at a sheep-shearing festival.
chunk_24.txt	A rogue, Autolycus, after earlier picking the Clown's pockets, comes to the festival to sell his wares.
chunk_25.txt	Dancing and singing take place, and Florizel and Perdita plan to marry.
chunk_26.txt	
chunk_27.txt	
chunk_28.txt	
chunk_29.txt	
chunk_30.txt	
chunk_31.txt	
chunk_32.txt	
chunk_33.txt	
chunk_34.txt	
chunk_35.txt	
chunk_36.txt	
chunk_37.txt	
chunk_38.txt	
chunk_39.txt	
chunk_40.txt	
chunk_41.txt	
chunk_42.txt	
chunk_43.txt	
chunk_44.txt	
chunk_45.txt	
